Work Item Type,Title,Area Path,Tags,Model Name,Object Type,Table Name,Measure Name,Definition,Format String,Display Folder,Hidden,Lifecycle Status,Governance Status,Source Artefact,Business Definition,Technical Notes,Dependencies,Replacement Measure,Owner,Validation Status
Task,Measure register: Actual GBP Base,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual GBP Base,SUM(fact_gl_balances[ActualGBP]),General Number (PBI_FormatHint),_Base,Yes,Current - Hidden,Imported from current PBIP; definition present,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Sum of GL actual balances,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Budget GBP Base,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Budget GBP Base,SUM(fact_gl_balances[BudgetGBP]),General Number (PBI_FormatHint),_Base,Yes,Current - Hidden,Imported from current PBIP; definition present,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Sum of GL Budget balances,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Budget GBP (Display),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Budget GBP (Display),"VAR SignedValue = CALCULATE( [Budget GBP (Scaled)], KEEPFILTERS(fact_gl_balances[BSPLFlag] = ""P"") ) RETURN SignedValue",General Number (PBI_FormatHint),_Core GL\PL,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Budget GBP (Scaled)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Budget Variance,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Budget Variance,[PL Actual Period] - [PL Budget Period],General Number (PBI_FormatHint),Exec Dashboards ONLY\PL\Variance,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[PL Actual Period]; [PL Budget Period],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Budget Variance %,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Budget Variance %,"DIVIDE([Budget Variance], [PL Budget Period])",0.00%;-0.00%;0.00%,Exec Dashboards ONLY\PL\Variance,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Budget Variance]; [PL Budget Period],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: PL Actual Period,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,PL Actual Period,"VAR _period = [Selected Fiscal Period From Key] VAR _year = [Selected Fiscal Year From Key] VAR _value = CALCULATE( [Actual GBP (Display)], REMOVEFILTERS(dim_date), dim_date[FiscalYearNumber] = _year, dim_date[FiscalMonthNumber] = _period ) RETURN IF( ABS( _value ) < 0.005, BLANK(), _value )",General Number (PBI_FormatHint),Exec Dashboards ONLY\PL\Actual,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Display)]; [Selected Fiscal Period From Key]; [Selected Fiscal Year From Key],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual WTC Base,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual WTC Base,SUM( fact_gl_balances[ActualWTC] ),General Number (PBI_FormatHint),_Base,Yes,Current - Hidden,Imported from current PBIP; definition present,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Sum of Actual Whole Time Contracted staff,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Budget WTC Base,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Budget WTC Base,SUM( fact_gl_balances[BudgetWTC] ),General Number (PBI_FormatHint),_Base,Yes,Current - Hidden,Imported from current PBIP; definition present,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Sum of Budgeted Whole Time Contracted staff,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Latest Data Year,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Latest Data Year,"CALCULATE( MAX( fact_gl_balances[FiscalYear] ), ALL( dim_date ), fact_gl_balances[ActualGBP] <> 0 )",0,_Helpers,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Latest Actual FiscalPeriodKey,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Latest Actual FiscalPeriodKey,"VAR _result = MAXX( FILTER( ALL(dim_date[FiscalPeriodSort], dim_date[IsPeriodClosed]), -- consider all periods dim_date[IsPeriodClosed] = TRUE() -- must be closed && CALCULATE( [Actual GBP Base]) <> 0 -- has non-zero actuals in that period ), dim_date[FiscalPeriodSort] ) RETURN _result",0,_Helpers,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP Base],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Selected FiscalPeriodKey Capped,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Selected FiscalPeriodKey Capped,"VAR _selectedKey = MAX(dim_date[FiscalPeriodSort]) VAR _latestActualKey = [Latest Actual FiscalPeriodKey] VAR _sel = COALESCE(_selectedKey, _latestActualKey) RETURN MIN(_sel, _latestActualKey)",General Number (PBI_FormatHint),_Helpers,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Latest Actual FiscalPeriodKey],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual Income,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual Income,"CALCULATE( [Actual Reporting (Scaled)], REMOVEFILTERS(dim_accounts), KEEPFILTERS(dim_accounts[IEAccountGroup] = ""Income"") )",General Number (PBI_FormatHint),_Core GL\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual Reporting (Scaled)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: PL Budget YTD,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,PL Budget YTD,"TOTALYTD( [Budget GBP (Display)], dim_date[Date], ""3/31"" )",0,Exec Dashboards ONLY\PL\Budget,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Budget GBP (Display)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: PL Forecast YTD,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,PL Forecast YTD,"VAR _periodKey = [Selected Fiscal Period From Key] VAR _year = [Selected Fiscal Year From Key] VAR _version = [Selected Forecast Version] RETURN CALCULATE( [Forecast GBP (Display)], USERELATIONSHIP(fact_gl_forecasts[DateKey],dim_date[DateKey]), REMOVEFILTERS(dim_date), dim_date[FiscalYearNumber] = _year, dim_date[FiscalMonthNumber] <= _periodKey, fact_gl_forecasts[ForecastVersion] = _version )","#,0",Exec Dashboards ONLY\PL\Forecasts,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Forecast GBP (Display)]; [Selected Fiscal Period From Key]; [Selected Fiscal Year From Key]; [Selected Forecast Version],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Selected Forecast Version,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Selected Forecast Version,"VAR _v = SELECTEDVALUE(dim_forecast_version[ForecastVersion]) RETURN COALESCE(_v, ""Q3F"")",General Number (PBI_FormatHint),_Helpers,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Forecast GBP (Display),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Forecast GBP (Display),"VAR _version = [Selected Forecast Version] VAR _multiplier = [Selected Statement Unit Multiplier] VAR _signedValue = CALCULATE( DIVIDE([Forecast GBP Base], _multiplier), TREATAS({_version}, fact_gl_forecasts[ForecastVersion]) ) RETURN _signedValue",General Number (PBI_FormatHint),_Core GL\PL,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Forecast GBP Base]; [Selected Forecast Version]; [Selected Statement Unit Multiplier],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: PL Forecast Outturn,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,PL Forecast Outturn,"VAR _periodKey = [Selected FiscalPeriodKey Capped] VAR _year = [Selected Fiscal Year From Key] VAR _version = [Selected Forecast Version] VAR _forecastRemainder = CALCULATE( [Forecast GBP (Display)], USERELATIONSHIP(fact_gl_forecasts[DateKey],dim_date[DateKey]), REMOVEFILTERS(dim_date), dim_date[FiscalYearNumber] = _year, dim_date[FiscalPeriodSort] > _periodKey, fact_gl_forecasts[ForecastVersion] = _version ) RETURN [Actual GBP (Display)] + _forecastRemainder","#,0",Exec Dashboards ONLY\PL\Forecasts,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Display)]; [Forecast GBP (Display)]; [Selected Fiscal Year From Key]; [Selected FiscalPeriodKey Capped]; [Selected Forecast Version],,Finance / BI owner to confirm,Pending regression test
